index,SMILE,fr_methoxy,EState_VSA2,PEOE_VSA1,SMR_VSA6,Chi3n,MinPartialCharge,SlogP_VSA2,MinAbsPartialCharge,Chi4n,Chi4v,GWP
87,C(C(F)(F)F)OCC(F)(F)F,0,0.0,4.736862953800049,13.213763929025836,0.5314509805859201,-0.36262098617806054,25.566360963912786,0.36262098617806054,0.2824860612511207,0.2824860612511207,1.387389826
88,C(C(F)Cl)(F)Cl,0,0.0,0.0,0.0,0.19047619047619047,-0.2252881898271995,11.261714435109248,0.21775979934933204,0.0,0.0,2.086359831
89,C(C(F)Cl)Cl,0,5.880003444970339,0.0,5.880003444970339,0.11664236870396086,-0.22866993322798532,11.510860662524962,0.18642508417303855,0.0,0.0,1.668385917
90,C(C(F)F)(C(F)(F)F)F,0,0.0,0.0,0.0,0.5339264042387997,-0.2310209289092342,18.773418657812957,0.2310209289092342,0.14285714285714285,0.14285714285714285,3.176091259
91,C(C(F)F)(C(F)F)F,0,0.0,0.0,0.0,0.4814333774575137,-0.23479690385367372,19.022564885228675,0.23479690385367372,0.10997147984564301,0.10997147984564301,2.40654018
92,C(C(F)F)(F)F,0,0.0,0.0,0.0,0.19047619047619047,-0.20394320407041397,12.850889489718382,0.20394320407041397,0.0,0.0,3.100370545
93,C(C(F)F)(OC(F)(F)F)F,0,0.0,0.0,0.0,0.44432253823175,-0.25077223887389954,19.145539340986776,0.25077223887389954,0.17909375219602047,0.17909375219602047,3.100370545
94,C(C(F)F)C(F)(F)F,0,0.0,0.0,0.0,0.38575837490522974,-0.21015441965629553,12.601743262302666,0.21015441965629553,0.17496355305594127,0.17496355305594127,2.983175072
95,C(C(F)F)F,0,0.0,0.0,6.674590972274908,0.11664236870396086,-0.24483002165672452,13.100035717134098,0.24483002165672452,0.0,0.0,2.561101384
96,C(C(F)F)O,0,0.0,5.106527394840706,6.606881964512918,0.13801311186847084,-0.3904449746090942,18.138854104212815,0.26080596330791833,0.0,0.0,0.790988475
97,C(C(F)F)OC(C(F)(F)F)(F)F,0,0.0,4.736862953800049,6.606881964512918,0.7206124465270582,-0.30721232751595834,25.317214736497068,0.30721232751595834,0.2494865331749062,0.2494865331749062,2.983626287
98,C(C(F)F)OC(C(F)F)(F)F,0,0.0,4.736862953800049,6.606881964512918,0.6558080698603447,-0.30995018579987615,25.566360963912786,0.30995018579987615,0.23709475893708243,0.23709475893708243,2.919601024
99,C(C(F)F)OC(F)(F)F,0,0.0,0.0,6.606881964512918,0.37298490868007006,-0.2859068197344507,19.394685568402494,0.2859068197344507,0.157485197087178,0.157485197087178,2.970346876
100,C(C(OC(C(F)(F)F)(F)F)(F)F)(F)F,0,0.0,0.0,0.0,0.8483174785321762,-0.2432746839973464,24.818922281665632,0.2432746839973464,0.27331064126520216,0.27331064126520216,3.57634135
101,C(C(OC(F)(F)F)(F)F)(C(F)(F)F)F,0,0.0,0.0,0.0,0.8342427454746815,-0.22755790904302223,24.818922281665635,0.22755790904302223,0.39656486501933946,0.39656486501933946,3.64246452
102,C(C=O)C(F)(F)F,0,6.286160523129555,4.794537184071822,0.0,0.31478835827647117,-0.3030363718696864,12.46245904057303,0.3030363718696864,0.09449111825230681,0.09449111825230681,-1.602059991
103,C(CBr)Br,0,0.0,0.0,10.660179294122853,0.07142857142857141,-0.09190389857679508,10.660179294122853,0.012858597828711611,0.0,0.0,0.008600172
104,C(CC(F)(F)F)CO,0,13.027703587438928,5.106527394840706,6.606881964512918,0.6183639330619761,-0.39637068959195343,17.889707876797097,0.3887092894948046,0.27950287293852766,0.27950287293852766,-1.30980392
105,C(CCl)Cl,0,0.0,0.0,11.760006889940678,0.07142857142857141,-0.12542343074881615,11.760006889940678,0.035889203448099614,0.0,0.0,0.113943352
106,C(CF)F,0,0.0,0.0,13.349181944549816,0.07142857142857141,-0.24823404062243565,13.349181944549816,0.11774433594500015,0.0,0.0,1.33243846
107,C(CF)O,0,6.606881964512918,5.106527394840706,13.281472936787825,0.08451542547285164,-0.39366054126169014,18.388000331628533,0.11246039712919563,0.0,0.0,-0.27572413
108,C(Cl)(Cl)(Cl)Cl,0,0.0,0.0,0.0,0.0,-0.06642130282188381,3.2517177575741014,0.06642130282188381,0.0,0.0,3.342422681
109,C(Cl)(Cl)Cl,0,0.0,0.0,0.0,0.0,-0.08741152777904436,4.2954515122943855,0.08741152777904436,0.0,0.0,1.31386722
110,C(Cl)Br,0,0.0,0.0,4.789271469105758,0.0,-0.1141985641082697,4.789271469105758,0.0777631430150728,0.0,0.0,0.675778342
111,C(CO)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,0,0.0,5.106527394840706,6.606881964512918,2.0298540154812716,-0.39614042090808943,41.579824549175406,0.39614042090808943,0.9022727435326092,0.9022727435326092,-0.273272791
112,C(CO)C(F)(F)F,0,0.0,5.106527394840706,6.606881964512918,0.3952767536319098,-0.39602739880153726,17.889707876797097,0.3908036270303192,0.12677313820927744,0.12677313820927744,-0.207608311
113,C(CO)C(F)(F)F,0,0.0,5.106527394840706,6.606881964512918,0.3952767536319098,-0.39602739880153726,17.889707876797097,0.3908036270303192,0.12677313820927744,0.12677313820927744,-0.207608311
114,C(F)(Cl)(Cl)Cl,0,0.0,0.0,0.0,0.0,-0.1891693418719329,4.046305284878669,0.1891693418719329,0.0,0.0,3.794488047
115,C(F)(Cl)Cl,0,0.0,0.0,0.0,0.0,-0.21187755147036705,5.090039039598953,0.21187755147036705,0.0,0.0,2.204119983
116,C(F)(F)(Br)Br,0,0.0,0.0,0.0,0.0,-0.18149493573976552,3.7410652163654134,0.18149493573976552,0.0,0.0,2.334453751
117,C(F)(F)(Cl)Br,0,0.0,0.0,0.0,0.0,-0.17658052877628858,4.290979014274326,0.17658052877628858,0.0,0.0,3.285557309
118,C(F)(F)(Cl)Cl,0,0.0,0.0,0.0,0.0,-0.171534140181979,4.840892812183238,0.171534140181979,0.0,0.0,4.096910013
119,C(F)(F)(F)Br,0,0.0,0.0,0.0,0.0,-0.16004778882170304,5.085566541578894,0.16004778882170304,0.0,0.0,3.857332496
120,C(F)(F)(F)Cl,0,0.0,0.0,0.0,0.0,-0.15568093590946064,5.635480339487805,0.15568093590946064,0.0,0.0,4.209515015
121,C(F)(F)(F)F,0,0.0,0.0,0.0,0.0,-0.1398591211178809,6.430067866792373,0.1398591211178809,0.0,0.0,3.868056362
122,C(F)(F)(F)S(F)(F)(F)(F)F,0,0.0,0.0,0.0,0.43740888263985317,-0.15332557143953182,5.508330501264255,0.15332557143953182,0.0,0.0,4.267171728
123,C(F)(F)Br,0,0.0,0.0,0.0,0.0,-0.19746996205193992,5.33471276899461,0.19746996205193992,0.0,0.0,2.579783597
124,C(F)(F)Cl,0,0.0,0.0,0.0,0.0,-0.1919545254547639,5.884626566903522,0.1919545254547639,0.0,0.0,3.292256071
125,C(F)(F)F,0,0.0,0.0,0.0,0.0,-0.1742238461437192,6.679214094208089,0.1742238461437192,0.0,0.0,4.164352856
126,C(F)F,0,0.0,0.0,6.928360321623806,0.0,-0.21418589178897088,6.928360321623806,0.21418589178897088,0.0,0.0,2.887054378
127,C(OC(C(F)(F)F)C(F)(F)F)F,0,0.0,4.736862953800049,6.860651313861816,0.8242488227679513,-0.32888993823636115,25.317214736497068,0.32888993823636115,0.4375531875790075,0.4375531875790075,2.290034611
128,C(OC(C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0,0.0,0.0,0.0,2.003411776361477,-0.2507135316854092,49.874547230981115,0.2507135316854092,0.9205871279171743,0.9205871279171743,3.728353782
129,C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0,0.0,0.0,0.0,1.4082191942975182,-0.2507135316854157,37.65736821161814,0.2507135316854157,0.640780408782444,0.640780408782444,3.758154622
